organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,people_reached,month,year
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Bama,Yes,Humanitarian,Yes,351.6666667,May,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,Yes,406.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  II,Yes,Humanitarian,Yes,105.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  II,Yes,Humanitarian,Yes,266.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Furram,Yes,Humanitarian,Yes,105.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Magumeri,Yes,Humanitarian,Yes,103.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,Yes,46.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,Yes,77.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,Yes,111.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Kalizoram / Banoram,Yes,Humanitarian,Yes,341.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,Yes,Humanitarian,Yes,268.6666667,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Kasugula,Yes,Humanitarian,Yes,437.3333333,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Gamboru 'C',Yes,Humanitarian,Yes,570.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,Yes,266.0,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Magumeri,Yes,Humanitarian,Yes,2.666666667,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Magumeri,Yes,Humanitarian,Yes,169.3333333,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Kareram,Yes,Humanitarian,Yes,71.66666667,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,Yes,64.33333333,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,102.6666667,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Furram,Yes,Humanitarian,Yes,82.66666667,Jun,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Furram,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Kareram,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Magumeri,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Gamboru 'C',Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Shehuri / Hausari / Mairi,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Magumeri,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Kalizoram / Banoram,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Hoyo / Chin Gowa,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Magumeri,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Furram,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  II,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  II,Yes,Humanitarian,,,Apr,2019
INTERSOS Humanitarian Aid,INTERSOS,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Yolde Kohi,No,Humanitarian,Yes,2339.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Limawa,No,Humanitarian,Yes,1828.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Toungo,Kiri I,No,Humanitarian,Yes,1521.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Song,Gudu Mboi,No,Humanitarian,Yes,1220.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Shelleng,Tallum,No,Nexus,Yes,1246.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Numan,Gamadio,No,Humanitarian,Yes,1132.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Kwaja,No,Humanitarian,Yes,1909.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Mayo Bani,No,Humanitarian,Yes,1052.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Michika,Sukumu / Tillijo,No,Humanitarian,Yes,361.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mayo-Belwa,Mayo Farang,No,Nexus,Yes,1281.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Maiha,Pakka,No,Humanitarian,Yes,1098.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Madagali,K/Wuro Ngayandi,No,Humanitarian,Yes,702.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Lamurde,Ngbakowo,No,Humanitarian,Yes,1177.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Jada,Koma II,No,Nexus,Yes,1308.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Hong,Gaya,No,Humanitarian,Yes,501.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Guyuk,DUKUL,No,Nexus,Yes,274.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Gombi,Ga'Anda,No,Nexus,Yes,2260.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Girei,Jera Bonyo,No,Humanitarian,Yes,556.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Ganye,Gurum,No,Nexus,Yes,1166.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Fufore,Gurin,No,Humanitarian,Yes,1411.0,May,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Jambutu,No,Humanitarian,Yes,949.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Makama 'B',No,Humanitarian,Yes,837.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Muchalla,No,Humanitarian,Yes,1137.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Gude,No,Humanitarian,Yes,1948.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Toungo,Kongin Baba II,No,Humanitarian,Yes,1109.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Song,Gudu Mboi,No,Humanitarian,Yes,473.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Shelleng,Libbo,No,Nexus,Yes,1072.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Numan,Sabon Pegi,No,Humanitarian,Yes,1123.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Michika,Michika  I,No,Humanitarian,Yes,354.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mayo-Belwa,Binyeri,No,Nexus,Yes,1014.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Maiha,Manjekin,No,Humanitarian,Yes,1081.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Madagali,Duhu/ Shuwa,No,Humanitarian,Yes,546.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Lamurde,Lamurde,No,Humanitarian,Yes,779.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Jada,Koma II,No,Nexus,Yes,629.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Hong,Kwarhi,No,Humanitarian,Yes,992.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Guyuk,Banjiram,No,Nexus,Yes,885.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Girei,Girei II,No,Humanitarian,Yes,949.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Gombi,Duwa,No,Nexus,Yes,880.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Ganye,Gurum,No,Nexus,Yes,966.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Fufore,Gurin,No,Humanitarian,Yes,1931.0,Jun,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Fufore,Karlahi,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Ganye,Sugu,No,Nexus,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Gombi,Garkida,No,Nexus,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Girei,Jera Bonyo,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Guyuk,Chikila,No,Nexus,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Hong,Hushere Zum,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Jada,Leko,No,Nexus,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Lamurde,Gyawana,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Madagali,Pallam,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Maiha,Pakka,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mayo-Belwa,Gorobi,No,Nexus,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Michika,Wamblimi / Tilli,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Nduku,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Numan,Sabon Pegi,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Shelleng,Gundo,No,Nexus,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Song,Dumne,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Toungo,Toungo II,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Bako,No,Humanitarian,,,Apr,2019
Janna Health Foundation,JHF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Limawa,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Lamorde,No,Humanitarian,Yes,330.0,May,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Nassarawo,No,Humanitarian,Yes,354.0,May,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Kolere,No,Humanitarian,Yes,359.0,May,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Digil,No,Humanitarian,Yes,350.0,May,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Lokuwa,No,Humanitarian,Yes,341.0,May,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Lamorde,No,Humanitarian,Yes,374.0,Jun,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Nassarawo,No,Humanitarian,Yes,364.0,Jun,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Kolere,No,Humanitarian,Yes,430.0,Jun,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Digil,No,Humanitarian,Yes,414.0,Jun,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Lokuwa,No,Humanitarian,Yes,417.0,Jun,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Lamorde,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Nassarawo,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Sabon Layi,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Yelwa,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Kolere,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Lamorde,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Nassarawo,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Sabon Layi,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Yelwa,No,Humanitarian,,,Apr,2019
Life Saving Grassroots Outreach,LESGO,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Kolere,No,Humanitarian,,,Apr,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,Yes,584.6666667,May,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,Yes,634.0,May,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,533.3333333,May,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Damboa,Damboa,Yes,Humanitarian,Yes,660.3333333,May,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Damboa,Damboa,Yes,Humanitarian,Yes,1925.0,Jun,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,1378.0,Jun,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,Yes,1490.0,Jun,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,Yes,500.0,Jun,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Apr,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,,,Apr,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Apr,2019
M�decins du Monde France,MDM - France,INGO,HEA,Health Activities,Ongoing,Borno,Damboa,Damboa,Yes,Humanitarian,,,Apr,2019
Plan International,PI,INGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Lokuwa,No,Humanitarian,,,Apr,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1422.333333,May,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1700.666667,May,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1694.0,May,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1435.0,May,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,2367.0,May,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1160.333333,Jun,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1466.0,Jun,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1610.0,Jun,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,1450.0,Jun,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,No,Humanitarian,Yes,2112.0,Jun,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,No,Humanitarian,Yes,2396.0,Jun,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Premi�re Urgence Internationale,PUI,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Royal Heritage Health Foundation,RHHF,NNGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,No,Humanitarian,Yes,713.3333333,Jun,2019
Royal Heritage Health Foundation,RHHF,NNGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,No,Humanitarian,Yes,4401.666667,Jun,2019
Royal Heritage Health Foundation,RHHF,NNGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,No,Humanitarian,Yes,499.3333333,Jun,2019
Royal Heritage Health Foundation,RHHF,NNGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,No,Humanitarian,Yes,4033.333333,Jun,2019
Society for Family Health,SFH,NNGO,HEA,Health Activities,Ongoing,Adamawa,Demsa,Dwam,No,Humanitarian,No,28.0,Jun,2019
Society for Family Health,SFH,NNGO,HEA,Health Activities,Ongoing,Adamawa,Demsa,Dwam,No,Humanitarian,No,22.0,Jun,2019
Society for Family Health,SFH,NNGO,HEA,Health Activities,Ongoing,Adamawa,Demsa,Dwam,No,Humanitarian,No,22.0,Jun,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Gulani,Yes,Humanitarian,No,472.6666667,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Borno Kiji/Tetteba,Yes,Humanitarian,No,326.6666667,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Ruhu,Yes,Humanitarian,No,546.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Kushimaga,Yes,Humanitarian,No,353.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Garin Tuwo,Yes,Humanitarian,No,331.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Njibulwa,Yes,Humanitarian,No,351.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Gagure,Yes,Humanitarian,No,469.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Bularafa,Yes,Humanitarian,No,426.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Bumsa,Yes,Humanitarian,No,275.6666667,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gulani,Bara,Yes,Humanitarian,No,402.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,No,429.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,No,221.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,No,297.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,No,358.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gujba,Wagir,Yes,Humanitarian,No,303.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,No,1089.666667,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Damaturu,Kukareta/Warsala,Yes,Humanitarian,No,544.6666667,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Damaturu,Gabir/Maduri,Yes,Humanitarian,No,201.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Yobe,Damaturu,Maisandari/Waziri Ibrahim Estate,Yes,Humanitarian,No,384.3333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,No,3.666666667,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Borno,Ngala,Old Gamboru 'A',Yes,Humanitarian,No,14.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,No,18.33333333,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,No,39.0,May,2019
State Ministry of Health,SMOH,Govt,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gamboru Liberty,Yes,Humanitarian,No,18.33333333,May,2019
